batch size,epoch,loss,acc,val_loss,val_acc,
32,0072,0.0092,0.9962,0.0322,0.9921,
32,0073,0.0093,0.9962,0.0321,0.992,
32,0074,0.0089,0.9963,0.0322,0.992,
32,0075,0.009,0.9963,0.0323,0.992,
32,0076,0.0095,0.9958,0.0321,0.992,
32,0077,0.0096,0.9961,0.0322,0.992,
32,0078,0.0094,0.996,0.0322,0.992,
32,0079,0.0091,0.9962,0.0322,0.992,
32,0080,0.0094,0.9961,0.0323,0.992,
32,0081,0.0093,0.9962,0.0322,0.9919,
32,0082,0.0088,0.9963,0.0323,0.992,
32,0083,0.0092,0.9962,0.0322,0.992,
32,0084,0.0089,0.9963,0.0323,0.992,
32,0085,0.0092,0.9963,0.0321,0.992,
32,0086,0.0096,0.9963,0.0321,0.992,
32,0087,0.0092,0.996,0.0323,0.9918,
32,0088,0.009,0.9962,0.0323,0.9921,
32,0089,0.0093,0.996,0.0323,0.9921,
32,0090,0.0095,0.9959,0.0322,0.992,
32,0091,0.0093,0.996,0.0323,0.992,
32,0092,0.0096,0.9957,0.0323,0.992,
32,0093,0.0089,0.9962,0.0323,0.992,
32,0094,0.0092,0.9963,0.0322,0.992,
32,0095,0.0092,0.9961,0.0322,0.992,
32,0096,0.0093,0.9963,0.0322,0.992,
32,0097,0.0092,0.996,0.0322,0.9919,
32,0098,0.0092,0.9965,0.0323,0.992,
32,0099,0.009,0.9963,0.0322,0.9919,
32,0100,0.0091,0.996,0.0321,0.9921,
